"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-03-15,"-1 wk ahead inc case",2021-03-06,"GM","observed",NA,57633,"Germany"
2021-03-15,"0 wk ahead inc case",2021-03-13,"GM","observed",NA,66376,"Germany"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM","point",NA,66155,"Germany"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM","point",NA,66155,"Germany"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM","point",NA,66155,"Germany"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM","point",NA,66155,"Germany"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM","quantile",0.01,51906,"Germany"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM","quantile",0.025,53997,"Germany"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM","quantile",0.05,55840,"Germany"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM","quantile",0.1,58018,"Germany"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM","quantile",0.15,59519,"Germany"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM","quantile",0.2,60731,"Germany"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM","quantile",0.25,61783,"Germany"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM","quantile",0.3,62739,"Germany"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM","quantile",0.35,63633,"Germany"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM","quantile",0.4,64489,"Germany"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM","quantile",0.45,65325,"Germany"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM","quantile",0.5,66155,"Germany"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM","quantile",0.55,66991,"Germany"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM","quantile",0.6,67849,"Germany"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM","quantile",0.65,68742,"Germany"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM","quantile",0.7,69692,"Germany"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM","quantile",0.75,70728,"Germany"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM","quantile",0.8,71892,"Germany"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM","quantile",0.85,73266,"Germany"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM","quantile",0.9,75018,"Germany"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM","quantile",0.95,77667,"Germany"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM","quantile",0.975,80013,"Germany"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM","quantile",0.99,82798,"Germany"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM","quantile",0.01,51906,"Germany"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM","quantile",0.025,53997,"Germany"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM","quantile",0.05,55840,"Germany"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM","quantile",0.1,58018,"Germany"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM","quantile",0.15,59519,"Germany"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM","quantile",0.2,60731,"Germany"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM","quantile",0.25,61783,"Germany"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM","quantile",0.3,62739,"Germany"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM","quantile",0.35,63633,"Germany"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM","quantile",0.4,64489,"Germany"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM","quantile",0.45,65325,"Germany"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM","quantile",0.5,66155,"Germany"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM","quantile",0.55,66991,"Germany"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM","quantile",0.6,67849,"Germany"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM","quantile",0.65,68742,"Germany"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM","quantile",0.7,69692,"Germany"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM","quantile",0.75,70728,"Germany"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM","quantile",0.8,71892,"Germany"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM","quantile",0.85,73266,"Germany"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM","quantile",0.9,75018,"Germany"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM","quantile",0.95,77667,"Germany"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM","quantile",0.975,80013,"Germany"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM","quantile",0.99,82798,"Germany"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM","quantile",0.01,51906,"Germany"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM","quantile",0.025,53997,"Germany"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM","quantile",0.05,55840,"Germany"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM","quantile",0.1,58018,"Germany"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM","quantile",0.15,59519,"Germany"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM","quantile",0.2,60731,"Germany"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM","quantile",0.25,61783,"Germany"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM","quantile",0.3,62739,"Germany"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM","quantile",0.35,63633,"Germany"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM","quantile",0.4,64489,"Germany"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM","quantile",0.45,65325,"Germany"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM","quantile",0.5,66155,"Germany"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM","quantile",0.55,66991,"Germany"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM","quantile",0.6,67849,"Germany"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM","quantile",0.65,68742,"Germany"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM","quantile",0.7,69692,"Germany"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM","quantile",0.75,70728,"Germany"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM","quantile",0.8,71892,"Germany"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM","quantile",0.85,73266,"Germany"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM","quantile",0.9,75018,"Germany"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM","quantile",0.95,77667,"Germany"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM","quantile",0.975,80013,"Germany"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM","quantile",0.99,82798,"Germany"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM","quantile",0.01,51906,"Germany"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM","quantile",0.025,53997,"Germany"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM","quantile",0.05,55840,"Germany"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM","quantile",0.1,58018,"Germany"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM","quantile",0.15,59519,"Germany"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM","quantile",0.2,60731,"Germany"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM","quantile",0.25,61783,"Germany"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM","quantile",0.3,62739,"Germany"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM","quantile",0.35,63633,"Germany"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM","quantile",0.4,64489,"Germany"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM","quantile",0.45,65325,"Germany"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM","quantile",0.5,66155,"Germany"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM","quantile",0.55,66991,"Germany"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM","quantile",0.6,67849,"Germany"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM","quantile",0.65,68742,"Germany"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM","quantile",0.7,69692,"Germany"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM","quantile",0.75,70728,"Germany"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM","quantile",0.8,71892,"Germany"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM","quantile",0.85,73266,"Germany"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM","quantile",0.9,75018,"Germany"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM","quantile",0.95,77667,"Germany"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM","quantile",0.975,80013,"Germany"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM","quantile",0.99,82798,"Germany"
2021-03-15,"-1 wk ahead cum case",2021-03-06,"GM","observed",NA,2492079,"Germany"
2021-03-15,"0 wk ahead cum case",2021-03-13,"GM","observed",NA,2558455,"Germany"
2021-03-15,"1 wk ahead cum case",2021-03-20,"GM","point",NA,2624610,"Germany"
2021-03-15,"2 wk ahead cum case",2021-03-27,"GM","point",NA,2690987,"Germany"
2021-03-15,"3 wk ahead cum case",2021-04-03,"GM","point",NA,2757363,"Germany"
2021-03-15,"4 wk ahead cum case",2021-04-10,"GM","point",NA,2823738,"Germany"
2021-03-15,"1 wk ahead cum case",2021-03-20,"GM","quantile",0.01,2610361,"Germany"
2021-03-15,"1 wk ahead cum case",2021-03-20,"GM","quantile",0.025,2612452,"Germany"
2021-03-15,"1 wk ahead cum case",2021-03-20,"GM","quantile",0.05,2614295,"Germany"
2021-03-15,"1 wk ahead cum case",2021-03-20,"GM","quantile",0.1,2616473,"Germany"
2021-03-15,"1 wk ahead cum case",2021-03-20,"GM","quantile",0.15,2617974,"Germany"
2021-03-15,"1 wk ahead cum case",2021-03-20,"GM","quantile",0.2,2619186,"Germany"
2021-03-15,"1 wk ahead cum case",2021-03-20,"GM","quantile",0.25,2620238,"Germany"
2021-03-15,"1 wk ahead cum case",2021-03-20,"GM","quantile",0.3,2621194,"Germany"
2021-03-15,"1 wk ahead cum case",2021-03-20,"GM","quantile",0.35,2622088,"Germany"
2021-03-15,"1 wk ahead cum case",2021-03-20,"GM","quantile",0.4,2622944,"Germany"
2021-03-15,"1 wk ahead cum case",2021-03-20,"GM","quantile",0.45,2623780,"Germany"
2021-03-15,"1 wk ahead cum case",2021-03-20,"GM","quantile",0.5,2624610,"Germany"
2021-03-15,"1 wk ahead cum case",2021-03-20,"GM","quantile",0.55,2625446,"Germany"
2021-03-15,"1 wk ahead cum case",2021-03-20,"GM","quantile",0.6,2626304,"Germany"
2021-03-15,"1 wk ahead cum case",2021-03-20,"GM","quantile",0.65,2627197,"Germany"
2021-03-15,"1 wk ahead cum case",2021-03-20,"GM","quantile",0.7,2628147,"Germany"
2021-03-15,"1 wk ahead cum case",2021-03-20,"GM","quantile",0.75,2629183,"Germany"
2021-03-15,"1 wk ahead cum case",2021-03-20,"GM","quantile",0.8,2630347,"Germany"
2021-03-15,"1 wk ahead cum case",2021-03-20,"GM","quantile",0.85,2631721,"Germany"
2021-03-15,"1 wk ahead cum case",2021-03-20,"GM","quantile",0.9,2633473,"Germany"
2021-03-15,"1 wk ahead cum case",2021-03-20,"GM","quantile",0.95,2636122,"Germany"
2021-03-15,"1 wk ahead cum case",2021-03-20,"GM","quantile",0.975,2638468,"Germany"
2021-03-15,"1 wk ahead cum case",2021-03-20,"GM","quantile",0.99,2641253,"Germany"
2021-03-15,"2 wk ahead cum case",2021-03-27,"GM","quantile",0.01,2670334,"Germany"
2021-03-15,"2 wk ahead cum case",2021-03-27,"GM","quantile",0.025,2673432,"Germany"
2021-03-15,"2 wk ahead cum case",2021-03-27,"GM","quantile",0.05,2676142,"Germany"
