"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2021-03-15,2021-06-12,"GM","Germany",62207.59349928,"point",NA,"13 wk ahead inc case"
2021-03-15,2021-06-19,"GM","Germany",59180.2870095628,"point",NA,"14 wk ahead inc case"
2021-03-15,2021-03-15,"GM","Germany",2585385,"point",NA,"0 day ahead cum case"
2021-03-15,2021-03-16,"GM","Germany",2595613.71428571,"point",NA,"1 day ahead cum case"
2021-03-15,2021-03-17,"GM","Germany",2606435.63721984,"point",NA,"2 day ahead cum case"
2021-03-15,2021-03-18,"GM","Germany",2617796.93142942,"point",NA,"3 day ahead cum case"
2021-03-15,2021-03-19,"GM","Germany",2629626.26743169,"point",NA,"4 day ahead cum case"
2021-03-15,2021-03-20,"GM","Germany",2641843.43669432,"point",NA,"5 day ahead cum case"
2021-03-15,2021-03-21,"GM","Germany",2654367.0676485,"point",NA,"6 day ahead cum case"
2021-03-15,2021-03-22,"GM","Germany",2667128.20672022,"point",NA,"7 day ahead cum case"
2021-03-15,2021-03-23,"GM","Germany",2680070.80963902,"point",NA,"8 day ahead cum case"
2021-03-15,2021-03-24,"GM","Germany",2693151.85463459,"point",NA,"9 day ahead cum case"
2021-03-15,2021-03-25,"GM","Germany",2706339.11800868,"point",NA,"10 day ahead cum case"
2021-03-15,2021-03-26,"GM","Germany",2719622.87880801,"point",NA,"11 day ahead cum case"
2021-03-15,2021-03-27,"GM","Germany",2733010.77706803,"point",NA,"12 day ahead cum case"
2021-03-15,2021-03-28,"GM","Germany",2746410.12059898,"point",NA,"13 day ahead cum case"
2021-03-15,2021-03-29,"GM","Germany",2759844.91699899,"point",NA,"14 day ahead cum case"
2021-03-15,2021-03-30,"GM","Germany",2773302.8843296,"point",NA,"15 day ahead cum case"
2021-03-15,2021-03-31,"GM","Germany",2786773.03961116,"point",NA,"16 day ahead cum case"
2021-03-15,2021-04-01,"GM","Germany",2800242.54688187,"point",NA,"17 day ahead cum case"
2021-03-15,2021-04-02,"GM","Germany",2813694.46474923,"point",NA,"18 day ahead cum case"
2021-03-15,2021-04-03,"GM","Germany",2827129.43755198,"point",NA,"19 day ahead cum case"
2021-03-15,2021-04-04,"GM","Germany",2840540.25084456,"point",NA,"20 day ahead cum case"
2021-03-15,2021-04-05,"GM","Germany",2853920.43634361,"point",NA,"21 day ahead cum case"
