forecast_date,target_end_date,target,location,type,quantile,location_name,value
2021-03-22,2021-03-27,1 wk ahead cum death,PL,point,NA,Poland,51688.72
2021-03-22,2021-03-27,1 wk ahead inc death,PL,point,NA,Poland,2529.72
2021-03-22,2021-03-27,1 wk ahead cum death,PL,quantile,0.01,Poland,51298.0768
2021-03-22,2021-03-27,1 wk ahead cum death,PL,quantile,0.025,Poland,51326.911
2021-03-22,2021-03-27,1 wk ahead cum death,PL,quantile,0.05,Poland,51357.88
2021-03-22,2021-03-27,1 wk ahead cum death,PL,quantile,0.1,Poland,51396.364
2021-03-22,2021-03-27,1 wk ahead cum death,PL,quantile,0.15,Poland,51429.466
2021-03-22,2021-03-27,1 wk ahead cum death,PL,quantile,0.2,Poland,51461.488
2021-03-22,2021-03-27,1 wk ahead cum death,PL,quantile,0.25,Poland,51498.46
2021-03-22,2021-03-27,1 wk ahead cum death,PL,quantile,0.3,Poland,51541.984
2021-03-22,2021-03-27,1 wk ahead cum death,PL,quantile,0.35,Poland,51579.28
2021-03-22,2021-03-27,1 wk ahead cum death,PL,quantile,0.4,Poland,51614.416
2021-03-22,2021-03-27,1 wk ahead cum death,PL,quantile,0.45,Poland,51648.634
2021-03-22,2021-03-27,1 wk ahead cum death,PL,quantile,0.5,Poland,51688.72
2021-03-22,2021-03-27,1 wk ahead cum death,PL,quantile,0.55,Poland,51754.168
2021-03-22,2021-03-27,1 wk ahead cum death,PL,quantile,0.6,Poland,52010.056
2021-03-22,2021-03-27,1 wk ahead cum death,PL,quantile,0.65,Poland,52089.67
2021-03-22,2021-03-27,1 wk ahead cum death,PL,quantile,0.7,Poland,52155.82
2021-03-22,2021-03-27,1 wk ahead cum death,PL,quantile,0.75,Poland,52219.27
2021-03-22,2021-03-27,1 wk ahead cum death,PL,quantile,0.8,Poland,52576.912
2021-03-22,2021-03-27,1 wk ahead cum death,PL,quantile,0.85,Poland,52682.482
2021-03-22,2021-03-27,1 wk ahead cum death,PL,quantile,0.9,Poland,52751.548
2021-03-22,2021-03-27,1 wk ahead cum death,PL,quantile,0.95,Poland,52822.774
2021-03-22,2021-03-27,1 wk ahead cum death,PL,quantile,0.975,Poland,52878.934
2021-03-22,2021-03-27,1 wk ahead cum death,PL,quantile,0.99,Poland,52930.7488
