forecast_date,target_end_date,target,location,type,quantile,location_name,value
2021-03-15,2021-03-20,1 wk ahead cum case,PL,point,NA,Poland,2028777.977
2021-03-15,2021-03-20,1 wk ahead inc case,PL,point,NA,Poland,139417.977
2021-03-15,2021-03-20,1 wk ahead cum case,PL,quantile,0.01,Poland,1963822.736
2021-03-15,2021-03-20,1 wk ahead cum case,PL,quantile,0.025,Poland,1964217.935
2021-03-15,2021-03-20,1 wk ahead cum case,PL,quantile,0.05,Poland,1964653.34
2021-03-15,2021-03-20,1 wk ahead cum case,PL,quantile,0.1,Poland,1965285.14
2021-03-15,2021-03-20,1 wk ahead cum case,PL,quantile,0.15,Poland,1965755.09
2021-03-15,2021-03-20,1 wk ahead cum case,PL,quantile,0.2,Poland,1966442.6
2021-03-15,2021-03-20,1 wk ahead cum case,PL,quantile,0.25,Poland,1988609.45
2021-03-15,2021-03-20,1 wk ahead cum case,PL,quantile,0.3,Poland,1996832.3599999999
2021-03-15,2021-03-20,1 wk ahead cum case,PL,quantile,0.35,Poland,1997829.59
2021-03-15,2021-03-20,1 wk ahead cum case,PL,quantile,0.4,Poland,1998620.36
2021-03-15,2021-03-20,1 wk ahead cum case,PL,quantile,0.45,Poland,1999487.9
2021-03-15,2021-03-20,1 wk ahead cum case,PL,quantile,0.5,Poland,2017270.7
2021-03-15,2021-03-20,1 wk ahead cum case,PL,quantile,0.55,Poland,2036523.44
2021-03-15,2021-03-20,1 wk ahead cum case,PL,quantile,0.6,Poland,2037496.88
2021-03-15,2021-03-20,1 wk ahead cum case,PL,quantile,0.65,Poland,2038567.31
2021-03-15,2021-03-20,1 wk ahead cum case,PL,quantile,0.7,Poland,2040162.8
2021-03-15,2021-03-20,1 wk ahead cum case,PL,quantile,0.75,Poland,2059088.6
2021-03-15,2021-03-20,1 wk ahead cum case,PL,quantile,0.8,Poland,2109689.36
2021-03-15,2021-03-20,1 wk ahead cum case,PL,quantile,0.85,Poland,2112308.54
2021-03-15,2021-03-20,1 wk ahead cum case,PL,quantile,0.9,Poland,2114261.96
2021-03-15,2021-03-20,1 wk ahead cum case,PL,quantile,0.95,Poland,2115890.12
2021-03-15,2021-03-20,1 wk ahead cum case,PL,quantile,0.975,Poland,2117047.16
2021-03-15,2021-03-20,1 wk ahead cum case,PL,quantile,0.99,Poland,2118426.902
2021-03-15,2021-03-20,1 wk ahead inc case,PL,quantile,0.01,Poland,74462.736
2021-03-15,2021-03-20,1 wk ahead inc case,PL,quantile,0.025,Poland,74857.935
2021-03-15,2021-03-20,1 wk ahead inc case,PL,quantile,0.05,Poland,75293.34000000001
2021-03-15,2021-03-20,1 wk ahead inc case,PL,quantile,0.1,Poland,75925.14
2021-03-15,2021-03-20,1 wk ahead inc case,PL,quantile,0.15,Poland,76395.09
2021-03-15,2021-03-20,1 wk ahead inc case,PL,quantile,0.2,Poland,77082.59999999999
2021-03-15,2021-03-20,1 wk ahead inc case,PL,quantile,0.25,Poland,99249.45
