forecast_date,target,target_end_date,location,type,quantile,value
2021-03-14,1 wk ahead inc case,2021-03-20,GM01,point,NA,11102.8
2021-03-14,1 wk ahead inc case,2021-03-20,GM01,quantile,0.010,6546.9
2021-03-14,1 wk ahead inc case,2021-03-20,GM01,quantile,0.025,7121.4
2021-03-14,1 wk ahead inc case,2021-03-20,GM01,quantile,0.050,7450.8
2021-03-14,1 wk ahead inc case,2021-03-20,GM01,quantile,0.100,8258.4
2021-03-14,1 wk ahead inc case,2021-03-20,GM01,quantile,0.150,8655.5
2021-03-14,1 wk ahead inc case,2021-03-20,GM01,quantile,0.200,9119.0
2021-03-14,1 wk ahead inc case,2021-03-20,GM01,quantile,0.250,9474.0
2021-03-14,1 wk ahead inc case,2021-03-20,GM01,quantile,0.300,9744.8
2021-03-14,1 wk ahead inc case,2021-03-20,GM01,quantile,0.350,10018.6
2021-03-14,1 wk ahead inc case,2021-03-20,GM01,quantile,0.400,10245.8
2021-03-14,1 wk ahead inc case,2021-03-20,GM01,quantile,0.450,10516.1
2021-03-14,1 wk ahead inc case,2021-03-20,GM01,quantile,0.500,10784.0
2021-03-14,1 wk ahead inc case,2021-03-20,GM01,quantile,0.550,11021.8
2021-03-14,1 wk ahead inc case,2021-03-20,GM01,quantile,0.600,11293.2
2021-03-14,1 wk ahead inc case,2021-03-20,GM01,quantile,0.650,11494.7
2021-03-14,1 wk ahead inc case,2021-03-20,GM01,quantile,0.700,11813.4
2021-03-14,1 wk ahead inc case,2021-03-20,GM01,quantile,0.750,12071.8
2021-03-14,1 wk ahead inc case,2021-03-20,GM01,quantile,0.800,12398.0
2021-03-14,1 wk ahead inc case,2021-03-20,GM01,quantile,0.850,12837.5
2021-03-14,1 wk ahead inc case,2021-03-20,GM01,quantile,0.900,13357.1
2021-03-14,1 wk ahead inc case,2021-03-20,GM01,quantile,0.950,14174.8
2021-03-14,1 wk ahead inc case,2021-03-20,GM01,quantile,0.975,14554.4
2021-03-14,1 wk ahead inc case,2021-03-20,GM01,quantile,0.990,15398.1
2021-03-14,2 wk ahead inc case,2021-03-27,GM01,point,NA,15683.9
2021-03-14,2 wk ahead inc case,2021-03-27,GM01,quantile,0.010,7775.2
2021-03-14,2 wk ahead inc case,2021-03-27,GM01,quantile,0.025,8834.5
2021-03-14,2 wk ahead inc case,2021-03-27,GM01,quantile,0.050,9589.5
