date,location,location_name,value
2021-03-23,GM,Germany,74964
2021-03-23,GM01,Baden-Württemberg State,8551
2021-03-23,GM02,Free State of Bavaria,13020
2021-03-23,GM03,Free Hanseatic City of Bremen,395
2021-03-23,GM04,Free Hanseatic City of Hamburg,1355
2021-03-23,GM05,Hesse State,6182
2021-03-23,GM06,Lower Saxony State,4736
2021-03-23,GM07,North Rhine-Westphalia State,13960
2021-03-23,GM08,Rhineland-Palatinate State,3264
2021-03-23,GM09,Saarland State,921
2021-03-23,GM10,Schleswig-Holstein State,1411
2021-03-23,GM11,Brandenburg State,3246
2021-03-23,GM12,Mecklenburg-Western Pomerania State,832
2021-03-23,GM13,Free State of Saxony,8236
2021-03-23,GM14,Sachsen-Anhalt State,2638
2021-03-23,GM15,Free State of Thuringia,3220
2021-03-23,GM16,Berlin State,2997
