date,location,location_name,value
2021-03-21,GM,Germany,74664
2021-03-21,GM01,Baden-Württemberg State,8526
2021-03-21,GM02,Free State of Bavaria,12972
2021-03-21,GM03,Free Hanseatic City of Bremen,392
2021-03-21,GM04,Free Hanseatic City of Hamburg,1348
2021-03-21,GM05,Hesse State,6145
2021-03-21,GM06,Lower Saxony State,4722
2021-03-21,GM07,North Rhine-Westphalia State,13886
2021-03-21,GM08,Rhineland-Palatinate State,3254
2021-03-21,GM09,Saarland State,918
2021-03-21,GM10,Schleswig-Holstein State,1404
2021-03-21,GM11,Brandenburg State,3233
2021-03-21,GM12,Mecklenburg-Western Pomerania State,828
2021-03-21,GM13,Free State of Saxony,8220
2021-03-21,GM14,Sachsen-Anhalt State,2631
2021-03-21,GM15,Free State of Thuringia,3195
2021-03-21,GM16,Berlin State,2990
