date,location,location_name,value
2021-03-20,GM,Germany,74565
2021-03-20,GM01,Baden-Württemberg State,8518
2021-03-20,GM02,Free State of Bavaria,12966
2021-03-20,GM03,Free Hanseatic City of Bremen,391
2021-03-20,GM04,Free Hanseatic City of Hamburg,1343
2021-03-20,GM05,Hesse State,6142
2021-03-20,GM06,Lower Saxony State,4705
2021-03-20,GM07,North Rhine-Westphalia State,13872
2021-03-20,GM08,Rhineland-Palatinate State,3254
2021-03-20,GM09,Saarland State,918
2021-03-20,GM10,Schleswig-Holstein State,1403
2021-03-20,GM11,Brandenburg State,3231
2021-03-20,GM12,Mecklenburg-Western Pomerania State,825
2021-03-20,GM13,Free State of Saxony,8198
2021-03-20,GM14,Sachsen-Anhalt State,2627
2021-03-20,GM15,Free State of Thuringia,3188
2021-03-20,GM16,Berlin State,2984
