date,location,location_name,value
2021-03-17,GM,Germany,73905
2021-03-17,GM01,Baden-Württemberg State,8456
2021-03-17,GM02,Free State of Bavaria,12884
2021-03-17,GM03,Free Hanseatic City of Bremen,381
2021-03-17,GM04,Free Hanseatic City of Hamburg,1337
2021-03-17,GM05,Hesse State,6094
2021-03-17,GM06,Lower Saxony State,4630
2021-03-17,GM07,North Rhine-Westphalia State,13761
2021-03-17,GM08,Rhineland-Palatinate State,3224
2021-03-17,GM09,Saarland State,914
2021-03-17,GM10,Schleswig-Holstein State,1391
2021-03-17,GM11,Brandenburg State,3197
2021-03-17,GM12,Mecklenburg-Western Pomerania State,816
2021-03-17,GM13,Free State of Saxony,8150
2021-03-17,GM14,Sachsen-Anhalt State,2597
2021-03-17,GM15,Free State of Thuringia,3127
2021-03-17,GM16,Berlin State,2946
