date,location,location_name,value
2021-03-24,GM,Germany,75212
2021-03-24,GM01,Baden-Württemberg State,8569
2021-03-24,GM02,Free State of Bavaria,13065
2021-03-24,GM03,Free Hanseatic City of Bremen,396
2021-03-24,GM04,Free Hanseatic City of Hamburg,1358
2021-03-24,GM05,Hesse State,6198
2021-03-24,GM06,Lower Saxony State,4746
2021-03-24,GM07,North Rhine-Westphalia State,13994
2021-03-24,GM08,Rhineland-Palatinate State,3276
2021-03-24,GM09,Saarland State,921
2021-03-24,GM10,Schleswig-Holstein State,1414
2021-03-24,GM11,Brandenburg State,3257
2021-03-24,GM12,Mecklenburg-Western Pomerania State,835
2021-03-24,GM13,Free State of Saxony,8272
2021-03-24,GM14,Sachsen-Anhalt State,2658
2021-03-24,GM15,Free State of Thuringia,3243
2021-03-24,GM16,Berlin State,3010
