date,location,location_name,value
2021-03-19,GM,Germany,74358
2021-03-19,GM01,Baden-Württemberg State,8510
2021-03-19,GM02,Free State of Bavaria,12937
2021-03-19,GM03,Free Hanseatic City of Bremen,390
2021-03-19,GM04,Free Hanseatic City of Hamburg,1342
2021-03-19,GM05,Hesse State,6119
2021-03-19,GM06,Lower Saxony State,4690
2021-03-19,GM07,North Rhine-Westphalia State,13838
2021-03-19,GM08,Rhineland-Palatinate State,3243
2021-03-19,GM09,Saarland State,916
2021-03-19,GM10,Schleswig-Holstein State,1398
2021-03-19,GM11,Brandenburg State,3220
2021-03-19,GM12,Mecklenburg-Western Pomerania State,823
2021-03-19,GM13,Free State of Saxony,8186
2021-03-19,GM14,Sachsen-Anhalt State,2619
2021-03-19,GM15,Free State of Thuringia,3161
2021-03-19,GM16,Berlin State,2966
