date,location,location_name,value
2021-03-18,GM,Germany,74132
2021-03-18,GM01,Baden-Württemberg State,8478
2021-03-18,GM02,Free State of Bavaria,12906
2021-03-18,GM03,Free Hanseatic City of Bremen,385
2021-03-18,GM04,Free Hanseatic City of Hamburg,1337
2021-03-18,GM05,Hesse State,6108
2021-03-18,GM06,Lower Saxony State,4666
2021-03-18,GM07,North Rhine-Westphalia State,13803
2021-03-18,GM08,Rhineland-Palatinate State,3231
2021-03-18,GM09,Saarland State,914
2021-03-18,GM10,Schleswig-Holstein State,1393
2021-03-18,GM11,Brandenburg State,3208
2021-03-18,GM12,Mecklenburg-Western Pomerania State,817
2021-03-18,GM13,Free State of Saxony,8168
2021-03-18,GM14,Sachsen-Anhalt State,2612
2021-03-18,GM15,Free State of Thuringia,3151
2021-03-18,GM16,Berlin State,2955
