date,location,location_name,value
2021-03-22,GM,Germany,74714
2021-03-22,GM01,Baden-Württemberg State,8530
2021-03-22,GM02,Free State of Bavaria,12981
2021-03-22,GM03,Free Hanseatic City of Bremen,392
2021-03-22,GM04,Free Hanseatic City of Hamburg,1349
2021-03-22,GM05,Hesse State,6156
2021-03-22,GM06,Lower Saxony State,4724
2021-03-22,GM07,North Rhine-Westphalia State,13897
2021-03-22,GM08,Rhineland-Palatinate State,3256
2021-03-22,GM09,Saarland State,918
2021-03-22,GM10,Schleswig-Holstein State,1405
2021-03-22,GM11,Brandenburg State,3235
2021-03-22,GM12,Mecklenburg-Western Pomerania State,829
2021-03-22,GM13,Free State of Saxony,8220
2021-03-22,GM14,Sachsen-Anhalt State,2632
2021-03-22,GM15,Free State of Thuringia,3199
2021-03-22,GM16,Berlin State,2991
